date,KOSPI,SP500,VIX,US10,KR10,GOLD,CRUDE_W,NIKKEI,EUROSTX
2002-07-10,,1063.0,,54.88282250000003,,870.1999999999996,-2.219999999999992,,
2002-07-11,,1071.0,,55.06251000000003,,872.6999999999996,-2.189999999999994,,
2002-07-12,,1061.25,,55.25001000000003,,870.9999999999995,-1.739999999999991,,
2002-07-15,,1064.5,,55.16407250000003,,874.9999999999995,-2.059999999999992,,
2002-07-16,,1047.25,,54.58594750000003,,872.5999999999996,-1.3999999999999917,,
2002-07-17,,1049.0,,55.00001000000003,,872.7999999999995,-1.3299999999999912,,
2002-07-18,,1019.5,,55.39063500000003,,872.1999999999996,-1.5199999999999925,,
2002-07-19,,988.0,,55.69532250000003,,878.9999999999995,-1.3399999999999928,,
2002-07-22,,963.75,,56.39063500000003,,878.5999999999996,-2.249999999999993,,
2002-07-23,,940.75,,56.70313500000003,,867.6999999999996,-2.5899999999999928,,
2002-07-24,,988.0,,56.89063500000003,,866.4999999999995,-2.2599999999999945,,
2002-07-25,,980.75,,57.06251000000003,,864.7999999999995,-2.2299999999999933,,
2002-07-26,,997.75,,57.27344750000003,,858.3999999999996,-2.4599999999999937,,
2002-07-29,,1037.75,,56.16407250000003,,857.4999999999995,-2.4599999999999937,,
2002-07-30,,1049.5,,55.95313500000003,,858.7999999999995,-1.8499999999999943,,
2002-07-31,,1055.5,,56.83594750000003,,857.9999999999995,-2.219999999999992,,
2002-08-01,,1028.0,,57.27344750000003,,858.7999999999995,-2.5899999999999928,,
2002-08-02,,1009.0,,58.35938500000003,,861.7999999999995,-2.289999999999992,,
2002-08-05,,978.0,,58.60938500000003,,862.4999999999995,-2.579999999999991,,
2002-08-06,,1005.0,,57.60157250000003,,860.0999999999996,-2.079999999999991,,
2002-08-07,,1020.0,,58.30469750000003,,868.8999999999996,-2.579999999999991,,
2002-08-08,,1049.75,,57.67188500000003,,864.9999999999995,-2.4299999999999926,,
2002-08-09,,1051.75,,58.69532250000003,,868.7999999999995,-2.3399999999999928,,
2002-08-12,,1046.5,,58.91407250000003,,868.5999999999996,-1.6499999999999917,,
